x_id,x_version,x_created_at,x_updated_at,acquisitiondate,acres,address,borough,class,communityboard,councildistrict,department,gisobjid,gispropnum,globalid,jurisdiction,location,mapped,name311,nys_assembly,nys_senate,objectid,omppropid,parentid,permit,permitdistrict,permitparent,pip_ratable,precinct,retired,signname,subcategory,typecategory,us_congress,waterfront,zipcode,boro_cd
row-dq2u_49g6-tqtv,rv-xqtr_9i2a-if5r,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1990-04-17T04:00:00Z,77.044,"Flatlands Ave, Louisiana Ave., E 108 St. and Belt Parkway",B,PARK,318,"42, 46",B-18,100003745,B384,CFCEF54B-F095-4633-A083-D29B027D923A,DPR,"Flatlands Ave, Louisiana Ave., E 108 St. and Belt Parkway",False,Fresh Creek Nature Preserve,60,19,171048,B384,B-18,FALSE,B-18,B-18,TRUE,75,FALSE,Fresh Creek Nature Preserve,Large Park,Nature Area,8,TRUE,"11236, 11239",318
row-jj6u.uxk7-ki7h,rv-mat3_xq74.b8zp,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1936-06-17T04:00:00Z,1.65,8 Ave. bet. 65 St. and 66 St.,B,PARK,310,38,B-10,100004073,B146,FB51610B-7B77-427C-9ED3-548F2593BB83,DPR,8 Ave. bet. 65 St. and 66 St.,False,Quaker Parrot Park at the Dust Bowl,49,17,171023,B146,B-10,TRUE,B-10,B-10,TRUE,68,FALSE,Quaker Parrot Park at the Dust Bowl,Neighborhood Park,Recreational Field/Courts,10,FALSE,11220,310
row-3hr6.cqaw-atvd,rv-ehey_h8ab-fsk8,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1988-01-08T05:00:00Z,0.659,14 Ave. bet. 121 St. and College Point Blvd.,Q,PARK,407,19,Q-07,100000070,Q457,A7C76185-423D-498F-82E4-652B85675EE4,DPR,14 Ave. bet. 121 St. and College Point Blvd.,True,College Point Park,27,11,171020,Q457,Q-07,TRUE,Q-07,Q-07,TRUE,109,FALSE,College Point Park,Neighborhood Plgd,Recreational Field/Courts,14,FALSE,11356,407
row-5e9j~bzxe-f4yj,rv-trw4-gk7a.em6u,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1968-10-18T04:00:00Z,1.2,"133 Ave., 135 Ave. bet. 143 St. and 145 St.",Q,PARK,412,28,Q-12,100000147,Q440,868DA656-81C9-430D-AD83-686DEDB62D88,DPR,"133 Ave., 135 Ave. bet. 143 St. and 145 St.",True,Hilton Holiday Gardens,32,10,171017,Q440,Q-12,FALSE,Q-12,Q-12,TRUE,113,FALSE,Hilton Holiday Gardens,Undeveloped,Recreational Field/Courts,5,FALSE,11436,412
row-rt3f~4c9f.nadt,rv-jnj6.7mzm.vjt5,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1954-05-03T04:00:00Z,2.056,Little Clove Rd. bet. Windsor Rd. and Victory Blvd.,R,PARK,501,49,R-01,100004303,R070,A341E329-0F41-4310-BBC0-0B08B7724F7E,DPR,Little Clove Rd. bet. Windsor Rd. and Victory Blvd.,True,Clove's Tail,63,24,171014,R070,R-01,FALSE,R-01,R-01,TRUE,120,FALSE,Clove's Tail,Neighborhood Park,Recreational Field/Courts,11,FALSE,10314,501
row-va7k_b3vs-px37,rv-vh9u~rzwd-b8dq,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,2009-03-04T05:00:00Z,0.048,1651 MADISON AVENUE,M,PARK,111,8,M-11,100004518,M382,286923FC-1887-4C2A-8B6E-4EF3F17ACCD8,DPR,E. 110 St. bet. Madison Ave. and Park Ave.,False,110th Street Block Association Garden,68,29,170931,M382,M-11,FALSE,M-11,M-11,FALSE,23,FALSE,110th Street Block Association Garden,Unknown,Garden,13,FALSE,10029,111
row-w6wi-wm8j.32xr,rv-g57j~npf9~fyr8,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1940-12-16T04:00:00Z,2.327,"Ditmars Blvd., 22 Dr. bet. 97 St. and 100 St.",Q,PARK,403,21,Q-03,100000097,Q299,B18799CC-6A13-45F6-967B-9CC1BF286E35,DPR,"Ditmars Blvd., 22 Dr. bet. 97 St. and 100 St.",True,Overlook Park,35,13,170957,Q299,Q-03,TRUE,Q-03,Q-03,TRUE,115,FALSE,Overlook Park,Sitting Area/Triangle/Mall,Nature Area,14,FALSE,11369,403
row-n27c~yjbg_3rwm,rv-8syr_w4yn-skyd,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1961-01-26T05:00:00Z,0.046,S/B Cross Bronx Exwy bet. Arthur Av and Crotona Av,X,PARK,206,15,X-06,100005164,X148G2,1D528CFC-DE56-4C02-93D4-75C11FD1AD0D,DPR,S/B Cross Bronx Exwy bet. Arthur Av and Crotona Av,True,Park,79,32,170149,X148G2,X-06,FALSE,X-06,X-06,FALSE,48,FALSE,Park,EXWY,Strip,15,FALSE,10457,206
row-e5hq_8k7n.7u4d,rv-k3wt_icq8~m7d4,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1964-04-23T05:00:00Z,8.807,1904 SURF AVENUE,B,PARK,313,47,B-13,100003999,B336,9869BB84-5C2D-4BBB-85A3-E70647B986E6,DPR,Surf Ave. to the Boardwalk between W. 19 St. and W. 20 St.,Part,Abe Stark Skating Rink,46,23,170748,B336,B-13,FALSE,B-13,B-13,FALSE,60,FALSE,Abe Stark Skating Rink,Concession,Buildings/Institutions,8,TRUE,11224,313
row-mkm2.78bd-a7jz,rv-98fv.dxcf.wy2w,2024-12-06T17:43:47Z,2026-02-17T14:49:55Z,1944-01-20T04:00:00Z,0.255,E. 138 St. at Grand Concourse,X,PARK,201,8,X-01,100004513,X145,C2A19C7E-A44F-4AFF-BD1F-A2BBD9C737FA,DPR,E. 138 St. at Grand Concourse,True,La Finca del Sur Community Garden,84,29,170112,X145,X-01,TRUE,X-01,X-01,FALSE,40,FALSE,La Finca del Sur Community Garden,Community Garden,Garden,15,FALSE,10451,201
