boro_cd,cdta_name,boro_name,time_period,poverty_count,poverty_rate
101,MN01 Financial District-Tribeca (CD 1 Equivalent),Manhattan,2016-20,3606,4.6
101,MN01 Financial District-Tribeca (CD 1 Equivalent),Manhattan,2017-21,3376,4.65
102,MN02 Greenwich Village-SoHo (CD 2 Equivalent),Manhattan,2016-20,6223,8
102,MN02 Greenwich Village-SoHo (CD 2 Equivalent),Manhattan,2017-21,6962,8.633333333333333
103,MN03 Lower East Side-Chinatown (CD 3 Equivalent),Manhattan,2016-20,39243,27.133333333333333
103,MN03 Lower East Side-Chinatown (CD 3 Equivalent),Manhattan,2017-21,40335,27.2
104,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),Manhattan,2016-20,13385,11.95
104,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),Manhattan,2017-21,14839,12.75
105,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),Manhattan,2016-20,4557,10.25
105,MN05 Midtown-Flatiron-Union Square (CD 5 Approximation),Manhattan,2017-21,4798,10.25
106,MN06 East Midtown-Murray Hill (CD 6 Approximation),Manhattan,2016-20,11545,8.675
106,MN06 East Midtown-Murray Hill (CD 6 Approximation),Manhattan,2017-21,12074,8.9
107,MN07 Upper West Side (CD 7 Approximation),Manhattan,2016-20,21864,11.333333333333334
107,MN07 Upper West Side (CD 7 Approximation),Manhattan,2017-21,23215,11.566666666666666
108,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),Manhattan,2016-20,12977,6
108,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),Manhattan,2017-21,14462,6.533333333333333
109,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),Manhattan,2016-20,24583,24.033333333333335
109,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),Manhattan,2017-21,25359,24.333333333333332
110,MN10 Harlem (CD 10 Equivalent),Manhattan,2016-20,30066,22.25
110,MN10 Harlem (CD 10 Equivalent),Manhattan,2017-21,30236,21.950000000000003
111,MN11 East Harlem (CD 11 Equivalent),Manhattan,2016-20,36803,31.05
111,MN11 East Harlem (CD 11 Equivalent),Manhattan,2017-21,37227,30.65
112,MN12 Washington Heights-Inwood (CD 12 Equivalent),Manhattan,2016-20,36365,18.033333333333335
112,MN12 Washington Heights-Inwood (CD 12 Equivalent),Manhattan,2017-21,34752,16.666666666666668
201,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),Bronx,2016-20,39048,41.099999999999994
201,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),Bronx,2017-21,41036,42.2
202,BX02 Longwood-Hunts Point (CD 2 Approximation),Bronx,2016-20,17987,35.650000000000006
