boro_cd,borough,district_n,district_name,population_2010,white_nonhisp_2010,black_nonhisp_2010,asian_pi_nonhisp_2010,other_nonhisp_2010,two_plus_nonhisp_2010,hispanic_2010,pct_white_nonhisp_2010,pct_black_nonhisp_2010,pct_asian_pi_nonhisp_2010,pct_hispanic_2010,pct_nonwhite_2010
201,Bronx,1,Bronx Community District 1,91497,1428,23680,542,393,567,64887,0.01560706908423227,0.25880629966009816,0.005923691487152584,0.7091707924849995,0.9843929309157677
202,Bronx,2,Bronx Community District 2,52246,694,11536,341,236,350,39089,0.013283313555104696,0.2208015924664089,0.006526815449986602,0.7481721088695785,0.9867166864448953
203,Bronx,3,Bronx Community District 3,79762,918,31387,380,429,635,46013,0.011509239988967178,0.3935081868558963,0.004764173415912339,0.5768787141746696,0.9884907600110329
204,Bronx,4,Bronx Community District 4,146441,2193,47344,2258,926,1382,92338,0.014975314290396816,0.3232974371931358,0.01541917905504606,0.6305474559720297,0.9850246857096032
205,Bronx,5,Bronx Community District 5,128200,1791,36795,1949,944,1121,85600,0.013970358814352574,0.28701248049921996,0.015202808112324493,0.6677067082683308,0.9860296411856474
206,Bronx,6,Bronx Community District 6,83268,6219,21548,952,425,675,53449,0.07468655425853869,0.2587788826439929,0.011432963443339578,0.6418912427343036,0.9253134457414613
207,Bronx,7,Bronx Community District 7,139286,10023,26165,9189,1260,1670,90979,0.07195985239004637,0.1878508967161093,0.06597217236477464,0.6531812242436426,0.9280401476099536
208,Bronx,8,Bronx Community District 8,101731,39190,11434,5048,538,1365,44156,0.385231640306298,0.11239445203526949,0.04962105946073468,0.43404665244615703,0.614768359693702
209,Bronx,9,Bronx Community District 9,172298,4749,53070,9937,2559,2632,99351,0.027562711116786032,0.3080128614377416,0.05767333341071864,0.5766230600471276,0.972437288883214
210,Bronx,10,Bronx Community District 10,120392,41554,26713,5529,997,1534,44065,0.34515582430726294,0.22188351385474117,0.045924978403880656,0.36601269187321417,0.654844175692737
211,Bronx,11,Bronx Community District 11,113232,31037,22981,8705,1080,1591,47838,0.2741009608591211,0.2029549950544016,0.07687756111346616,0.42247774480712164,0.7258990391408788
212,Bronx,12,Bronx Community District 12,152344,10869,99083,2922,2062,2498,34910,0.07134511369006984,0.6503899070524602,0.01918027621698262,0.22915244446778343,0.9286548863099302
301,Brooklyn,1,Brooklyn Community District 1,173083,105311,8982,8765,805,2212,47008,0.6084421924741309,0.05189417793775241,0.0506404441799599,0.2715922418723965,0.3915578075258691
302,Brooklyn,2,Brooklyn Community District 2,99617,45970,27921,7815,610,3130,14171,0.4614674202194405,0.2802834857504241,0.07845046528203017,0.14225483602196412,0.5385325797805596
303,Brooklyn,3,Brooklyn Community District 3,152985,16634,98780,3525,919,2639,30488,0.10872961401444586,0.6456842174069353,0.02304147465437788,0.19928751184756677,0.8912703859855542
304,Brooklyn,4,Brooklyn Community District 4,112634,9564,22688,4807,790,1169,73616,0.084912193476215,0.20143118418949874,0.04267805458387343,0.6535859509561944,0.915087806523785
305,Brooklyn,5,Brooklyn Community District 5,182896,6237,94316,9055,3293,2905,67090,0.03410134721371708,0.5156810427784095,0.04950901058525063,0.36682048814626894,0.965898652786283
306,Brooklyn,6,Brooklyn Community District 6,104709,65691,10967,5563,560,2886,19042,0.6273672750193393,0.10473789263578107,0.053128193374017516,0.18185638292792405,0.3726327249806607
